name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,spoilers
Raft,,GM Core pg. 217 <sup>2.0</sup>,Common,,Vehicles,,-1,3 gp,,,
Club,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,Thrown 10 ft.,Weapons,Base Weapons,0,,1,,
Exquisite Sword Cane Sheath,,Pathfinder #157: Devil at the Dreaming Palace pg. 80,Common,"Agile, Finesse, Parry, Twin (Sword)",Weapons,Base Weapons,0,,L,,
Primal Symbol,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,,,,
Sling,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,Propulsive,Weapons,Base Weapons,0,,L,,
Staff,Standard,"Player Core pg. 277 <sup>2.0</sup>, Tian Xia Character Guide pg. 127",Common,"Monk, Two-Hand 1d8",Weapons,Base Weapons,0,,1,,
Alcohol,,Gamemastery Guide pg. 120,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,1 cp (or more),L,held in 1 hand,
Beverages (Mug of Ale),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,1 cp,L,,
Black Powder (Dose or Round),Standard,Guns & Gears pg. 169 <sup>2.0</sup>,Uncommon,"Alchemical, Consumable, Uncommon",Alchemical Items,Alchemical Ammunition,0,1 cp,,,
Candle,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,,,
Chalk,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp (10 pieces),,,
Clay,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,1 cp,,held in 2 hands,
"Cloth (Wool Cloth, 1 square yard)",Standard,Travel Guide pg. 37,Common,,Trade Goods,,0,1 cp,,,
Dart,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,"Agile, Thrown",Weapons,Base Weapons,0,1 cp,L,,
Feed (Standard),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 cp (1 week),,,
Lumber,,Travel Guide pg. 37,Common,,Trade Goods,,0,1 cp (per 40 board feet),,,
Meal (Poor),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,1 cp,L,,
Mouse,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 cp,,,
Mug,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,,,
Oil,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,,,
Pinwheel,Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,0,1 cp,,held in 1 hand,
Piton,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,,,
Sack,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,L,,
Shuriken,Standard,Player Core pg. 280 <sup>2.0</sup>,Uncommon,"Agile, Monk, Thrown, Uncommon",Weapons,Base Weapons,0,1 cp,,,
Sling Bullets,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,,Weapons,Base Weapons,0,1 cp (price for 10),L,,
Ten-Foot Pole,Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,1,,
Toll,Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,1 cp,,,
Torch,Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 cp,L,,
Treats (Standard),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 cp,,,
Bedroll,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,2 cp,L,,
Beverages (Pot of Coffee or Tea),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,2 cp,L,,
Leather,,Travel Guide pg. 37,Common,,Trade Goods,,0,2 cp (+ per square yard),,,
Soap,Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,2 cp,,,
Stabling,Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,2 cp (per day),,,
Ball,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,3 cp,L,held in 1 hand,
Cat,Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,3 cp,,,
Ladder (10 ft.),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,3 cp,3,,
Lodging (Floor Space),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,3 cp (per day),,,
Meal (Square),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,3 cp,L,,
Transportation (Caravan),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,Transportation,0,3 cp (per 5 miles),,,
Kite,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,4 cp,,held in 1 hand,
Transportation (Ferry or Riverboat),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,Transportation,0,4 cp (per 5 miles),,,
Bandalore,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,5 cp,,held in 1 hand,
Blowgun Darts,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,,Weapons,Base Weapons,0,5 cp (price for 10),L,,
Flint and Steel,Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 cp,,,
Mask (Ordinary),Standard,Grand Bazaar pg. 92,Common,,Adventuring Gear,,0,5 cp,,worn mask,
Waterskin,Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 cp,L,,
Transportation (Sailing Ship),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,Transportation,0,6 cp (per 5 miles),,,
Signal Whistle,Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,8 cp,,,
Air Bladder,Standard,Grand Bazaar pg. 92,Common,,Adventuring Gear,,0,1 sp,L 1 if inflated,held in 1 hand,
Animal Bed,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,
Arrows,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,
Backpack,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,,,
Backpack Ballista Bolts,Standard,Guns & Gears pg. 62 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp (price for 10),L,,
Backpack Catapult Stones,Standard,Guns & Gears pg. 63 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp (price for 10),1,,
Basic Crafter's Book,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Beverages (Bottle of Wine),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,1 sp,L,,
Bird,Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,1 sp,,,
Blocks,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,1 sp,L,held in 2 hands,
Blowgun,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,"Agile, Nonlethal",Weapons,Base Weapons,0,1 sp,L,,
Bolts,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,
Bolts (Phalanx Piercer),Standard,Treasure Vault pg. 30 <sup>1.1</sup>,Common,,Weapons,Base Weapons,0,1 sp (price for 5),L,,
Bone Object,,Treasure Vault pg. 169 <sup>1.1</sup>,Common,,Materials,,0,1 sp (per Bulk),,,
Bone Specimen,,Treasure Vault pg. 169 <sup>1.1</sup>,Common,,Materials,,0,1 sp,1,,
Butterfly or Moth,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,
Clothing (Explorer's),Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Clothing (Ordinary),Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,,,
Collar,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,
Disguise Kit (Replacement Cosmetics),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Dogslicer,Standard,Player Core pg. 278 <sup>2.0</sup>,Uncommon,"Agile, Backstabber, Finesse, Goblin, Uncommon",Weapons,Base Weapons,0,1 sp,L,,
Doll,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,1 sp,L,held in 1 hand,
Dyes and Ink,,Travel Guide pg. 37,Common,,Trade Goods,,0,1 sp (per vial),,,
Earplugs,Standard,"Guns & Gears pg. 179 <sup>2.0</sup>, PFS Guide pg. 114",Common,,Adventuring Gear,,0,1 sp,,,
Explorer's Clothing,Standard,Player Core pg. 273 <sup>2.0</sup>,Common,Comfort,Armor,Base Armor,0,1 sp,L,,
Feed (Unique),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp (1 week),,,
Ferret,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,
Firearm Ammunition (10 rounds),Standard,Guns & Gears pg. 151 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp,L,,
Firearm Ammunition (5 rounds),Standard,Guns & Gears pg. 151 <sup>2.0</sup>,Uncommon,Uncommon,Weapons,Base Weapons,0,1 sp,L,,
Firearm Cleaning Kit,Standard,Guns & Gears pg. 179 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,L,,
Frying Pan,Standard,Treasure Vault pg. 27 <sup>1.1</sup>,Common,"Fatal d8, Halfling",Weapons,Base Weapons,0,1 sp,L,,
Gerbil or Hamster,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,
Grappling Hook,Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Hammer,Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Hireling (Unskilled),Standard,Core Rulebook pg. 294 <sup>4.0</sup>,Common,,Services,Hirelings,0,1 sp (per day),,,
Javelin,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,Thrown,Weapons,Base Weapons,0,1 sp,L,,
Juggling Club,Limited,Pathfinder #151: The Show Must Go On pg. 77,Uncommon,"Agile, Nonlethal, Thrown 20 ft., Uncommon",Weapons,Base Weapons,0,1 sp,L,,Extinction Curse
Leash,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,
Lizard,Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,1 sp,,,
"Lodging (Bed, for 1)",Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,1 sp (per day),,,
Monkey's Fist,Limited,Pathfinder #157: Devil at the Dreaming Palace pg. 78,Common,"Finesse, Monk, Nonlethal",Weapons,Base Weapons,0,1 sp,,,
Powder,Standard,Grand Bazaar pg. 92,Common,Consumable,Adventuring Gear,,0,1 sp,L,held in 1 hand,
Praying Mantis,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,
Rat,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 sp,,,
Religious Symbol (Wooden),Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Sap,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,"Agile, Nonlethal",Weapons,Base Weapons,0,1 sp,L,,
Scourge,Standard,Character Guide pg. 80 <sup>2.0</sup>,Common,"Agile, Disarm, Finesse, Nonlethal, Sweep",Weapons,Base Weapons,0,1 sp,1,,
Shield Sconce,Standard,PFS Guide pg. 115,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,,,
Silencer,Standard,Guns & Gears pg. 179 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,L,,
Spear,Standard,"Player Core pg. 277 <sup>2.0</sup>, Tian Xia Character Guide pg. 127",Common,"Monk, Thrown 20 ft.",Weapons,Base Weapons,0,1 sp,1,,
Spray Pellet,Standard,Treasure Vault pg. 30 <sup>1.1</sup>,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,
Stone Object (Low-Grade),,Treasure Vault pg. 169 <sup>1.1</sup>,Common,,Materials,,0,1 sp (per Bulk),,,
Sun Shot,,Pathfinder #172: Secrets of the Temple City pg. 78,Uncommon,"Concussive, Propulsive, Uncommon",Weapons,Base Weapons,0,1 sp (price for 10),L,,Strength of Thousands
Tonfa,Standard,Grand Bazaar pg. 106,Uncommon,"Agile, Finesse, Monk, Parry, Twin, Uncommon",Weapons,Base Weapons,0,1 sp,L,,
Tracking Tag,Standard,Howl of the Wild pg. 113 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,1 sp,,,
Treats (Unique),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 sp,,,
Whip,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,"Disarm, Finesse, Nonlethal, Reach, Trip",Weapons,Base Weapons,0,1 sp,1,,
Wooden Taws,Standard,Ancestry Guide pg. 138 <sup>3.0</sup>,Common,,Weapons,Base Weapons,0,1 sp (price for 10),L,,
Writing Set (Extra Ink and Paper),Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,1 sp,L,,
Brick,,Travel Guide pg. 37,Common,,Trade Goods,,0,"1 sp, 7 cp (per 1,000 bricks)",,,
8-Round Magazine,Standard,Treasure Vault pg. 30 <sup>1.1</sup>,Common,,Weapons,Base Weapons,0,2 sp,L,,
Ale,,Travel Guide pg. 36,Common,,Trade Goods,,0,2 sp (per keg),,,
Atlatl,Standard,Treasure Vault pg. 30 <sup>1.1</sup>,Common,Propulsive,Weapons,Base Weapons,0,2 sp,1,,
Bayonet,Standard,Guns & Gears pg. 152 <sup>2.0</sup>,Common,"Agile, Attached to crossbow or firearm, Finesse",Weapons,Base Weapons,0,2 sp,L,,
Beverages (Keg of Ale),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,2 sp,2,,
Bo Staff,Standard,"Player Core pg. 278 <sup>2.0</sup>, Tian Xia Character Guide pg. 127",Common,"Monk, Parry, Reach, Trip",Weapons,Base Weapons,0,2 sp,2,,
Boomerang,Standard,Treasure Vault pg. 30 <sup>1.1</sup>,Uncommon,"Recovery, Thrown, Uncommon",Weapons,Base Weapons,0,2 sp,L,,
Chakri,Standard,"Treasure Vault pg. 30 <sup>1.1</sup>, Impossible Lands pg. 220",Uncommon,"Recovery, Thrown, Uncommon",Weapons,Base Weapons,0,2 sp,L,,
Dagger,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,"Agile, Finesse, Thrown 10 ft., Versatile S",Weapons,Base Weapons,0,2 sp,L,,
Dog,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,2 sp,,,
Frog,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,2 sp,,,
Gauntlet,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,"Agile, Free-Hand",Weapons,Base Weapons,0,2 sp,L,,
Gi,Standard,Treasure Vault pg. 10 <sup>1.1</sup>,Common,Comfort,Armor,Base Armor,0,2 sp,L,,
Grappling Arrow,Standard,PFS Guide pg. 115,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,L,,
Grappling Bolt,Standard,PFS Guide pg. 115,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,L,,
Lock (Poor),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,2 sp,,,
Marbles,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,2 sp,L,held in 1 hand,
Merchant's Scale,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,2 sp,L,,
Nunchaku,Standard,"Player Core pg. 278 <sup>2.0</sup>, Tian Xia Character Guide pg. 127",Uncommon,"Backswing, Disarm, Finesse, Monk, Uncommon",Weapons,Base Weapons,0,2 sp,L,,
Padded Armor,Standard,Player Core pg. 273 <sup>2.0</sup>,Common,Comfort,Armor,Base Armor,0,2 sp,L,,
Poi,Limited,Pathfinder #151: The Show Must Go On pg. 77,Uncommon,"Agile, Backswing, Finesse, Nonlethal, Uncommon",Weapons,Base Weapons,0,2 sp,L,,Extinction Curse
Practice Targets,Standard,Guns & Gears pg. 179 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,2 sp (price for 10),L,,
Puzzle Box (Simple),Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,0,2 sp,L,held in 1 hand,
Reinforced Stock,Standard,Guns & Gears pg. 152 <sup>2.0</sup>,Common,"Attached to crossbow or firearm, Finesse, Two-Hand d8",Weapons,Base Weapons,0,2 sp,L,,
Saddlebags,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,2 sp,L,,
Sickle,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,"Agile, Finesse, Trip",Weapons,Base Weapons,0,2 sp,L,,
Spider,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,2 sp,,,
Tekko-Kagi,Standard,"Treasure Vault pg. 27 <sup>1.1</sup>, Gods & Magic pg. 121 <sup>2.0</sup>",Uncommon,"Agile, Disarm, Finesse, Free-Hand, Monk, Parry, Uncommon",Weapons,Base Weapons,0,2 sp,L,,
Thundermace,Standard,Grand Bazaar pg. 106,Uncommon,"Backswing, Uncommon",Weapons,Base Weapons,0,2 sp,2,,
Transportation (Carriage),Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,Transportation,0,2 sp (per 5 miles),,,
Tripod,Standard,Guns & Gears pg. 179 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,1,,
Waterproof Carrying Case,Standard,Guns & Gears pg. 179 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,2 sp,L,,
Basic Face Mask,Standard,Treasure Vault pg. 105 <sup>1.1</sup>,Common,,Assistive Items,,0,3 sp,,worn,
Caltrops,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,3 sp,L,,
Corset Knife,Standard,Treasure Vault pg. 26 <sup>1.1</sup>,Common,"Agile, Concealable, Finesse, Thrown 10 ft.",Weapons,Base Weapons,0,3 sp,L,,
Forked Bipod,Standard,Guns & Gears pg. 152 <sup>2.0</sup>,Common,"Agile, Deadly d6, Finesse",Weapons,Base Weapons,0,3 sp,L,,
Katar,Standard,"Player Core pg. 277 <sup>2.0</sup>, Tian Xia Character Guide pg. 127",Uncommon,"Agile, Deadly d6, Monk, Uncommon",Weapons,Base Weapons,0,3 sp,L,,
Knuckle Duster,Standard,Guns & Gears pg. 152 <sup>2.0</sup>,Common,"Agile, Free-Hand, Monk",Weapons,Base Weapons,0,3 sp,L,,
Light Hammer,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,"Agile, Thrown 20 ft.",Weapons,Base Weapons,0,3 sp,L,,
Manacles (Poor),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,3 sp,,,
Sifting Pan,Standard,Howl of the Wild pg. 113 <sup>2.0</sup>,Common,,Adventuring Gear,,0,3 sp,L,,
Spiked Gauntlet,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,"Agile, Free-Hand",Weapons,Base Weapons,0,3 sp,L,,
Thieves' Toolkit (Replacement Picks),Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,3 sp,L,,
Throwing Knife,Standard,"Grand Bazaar pg. 106, Pathfinder #151: The Show Must Go On pg. 77",Common,"Agile, Finesse, Thrown 20 ft.",Weapons,Base Weapons,0,3 sp,L,,
Turtle,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,3 sp,,,
War Razor,Standard,"Treasure Vault pg. 30 <sup>1.1</sup>, Gods & Magic pg. 121 <sup>2.0</sup>",Common,"Agile, Backstabber, Deadly d8, Finesse",Weapons,Base Weapons,0,3 sp,L,,
Basic Companion Chair,Standard,Treasure Vault pg. 105 <sup>1.1</sup>,Common,"Barding, Companion",Assistive Items,Animal Companion Mobility Aids,0,4 sp,1,,
"Cloth (wool cloth, 1 Bulk)",Standard,Travel Guide pg. 37,Common,,Trade Goods,,0,4 sp,,,
Clothing (Desert),Standard,Howl of the Wild pg. 112 <sup>2.0</sup>,Common,,Adventuring Gear,,0,4 sp,L,,
Clothing (Winter),Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,4 sp,L,,
Cruuk,Standard,Player Core 2 pg. 274,Common,"Shove, thrown 30 ft., Tripkee",Weapons,Base Weapons,0,4 sp,L,,
Hatchet,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,"Agile, Sweep, Thrown  10 ft.",Weapons,Base Weapons,0,4 sp,L,,
Light Mace,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,"Agile, Finesse, Shove",Weapons,Base Weapons,0,4 sp,L,,
